"Title","Author","Publisher","Published Date","Format","Pages","Series","Volume","Language","ISBN","Page Read","Item Url","Icon Path","Photo Path","Image Url","Summary","Location","Price","Genres","Rating","Added Date","Copy Index","Read","Started Reading Date","Finished Reading Date","Favorite","Comments","Tags","BookShelf","Settings"
"Daytime Shooting Star, Vol. 3 (3)","Yamamori, Mika","VIZ Media LLC","2019-11-05","Paperback","200","ひるなかの流星 [Hirunaka no Ryuusei]","3","English","9781974706693","","https://www.amazon.com/dp/1974706699?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/514KBFnDotL._SL500_.jpg","Optimistic high schooler Suzume moves to Tokyo and finds her heart caught between two men!

After arriving in Tokyo to live with her uncle, Suzume collapses in a nearby park when she recallsm once seeing a shooting star during the day. A handsome stranger brings her to her new home and tells her they’ll meet again. Suzume starts her first day at her new high school sitting next to a boy who blushes furiously at her touch. And her homeroom teacher is none other than the handsome stranger!

Suzume has moved to Tokyo and is living with her uncle. In an unguarded moment while Mr. Shishio naps in the infirmary, Suzume voices her feelings. But he wasn’t sleeping?! Mamura soon realizes how Suzume feels about their teacher, and with Mr. Shishio’s ex-girlfriend back in the picture, things become even more complicated.","","9.99","Shojo","4.27","07/18/2025","","","","","","","","Daytime Shooting Star"
"Daytime Shooting Star, Vol. 4 (4)","Yamamori, Mika","VIZ Media LLC","2020-01-07","Paperback","192","ひるなかの流星 [Hirunaka no Ryuusei]","4","English","9781974706709","","https://www.amazon.com/dp/1974706702?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41YdAQP4WxL._SL500_.jpg","Covers chapters 22-28.","","9.99","Manga","4.30","07/18/2025","","","","","","","","Daytime Shooting Star"
"Daytime Shooting Star, Vol. 5 (5)","Yamamori, Mika","VIZ Media LLC","2020-03-03","Paperback","224","ひるなかの流星 [Hirunaka no Ryuusei]","5","English","9781974706716","","https://www.amazon.com/dp/1974706710?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41ugT9Vvn7L._SL500_.jpg","Covers chapters 29-34.","","9.99","Manga","4.25","07/18/2025","","","","","","","","Daytime Shooting Star"
"Daytime Shooting Star, Vol. 6 (6)","Yamamori, Mika","VIZ Media LLC","2020-05-05","Paperback","208","ひるなかの流星 [Hirunaka no Ryuusei]","6","English","9781974706723","","https://www.amazon.com/dp/1974706729?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/416isClvU+L._SL500_.jpg","Clueless country girl Suzume moves to Tokyo and finds her heart caught between two men!

After arriving in Tokyo to live with her uncle, Suzume collapses in a nearby park where she had once seen a shooting star during the day. A handsome stranger brings her to her new home and tells her they’ll meet again. Suzume starts her first day at her new high school sitting next to a boy who blushes furiously at her touch. And her homeroom teacher is none other than the handsome stranger!

Suzume has moved to Tokyo and is living with her uncle. With Mr. Shishio’s true feelings for her out in the open, Suzume tries her best to figure out if they are an item or not. Meanwhile, Mamura grows suspicious of Shishio and Suzume’s relationship.","","9.99","Manga","4.28","07/18/2025","","","","","","","","Daytime Shooting Star"
"Daytime Shooting Star, Vol. 7 (7)","Yamamori, Mika","VIZ Media LLC","2020-07-07","Paperback","208","ひるなかの流星 [Hirunaka no Ryuusei]","7","English","9781974715077","","https://www.amazon.com/dp/1974715078?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/416TO+yneTL._SL500_.jpg","Suzume has moved to Tokyo and is living with her uncle. Suzume and Mr. Shishio take a trip together for the first time. But something weighs heavily on Mr. Shishio’s mind. Meanwhile, Suzume’s worried about being caught on a romantic outing with her teacher.","","9.99","Manga","4.30","07/18/2025","","","","","","","","Daytime Shooting Star"
"Daytime Shooting Star, Vol. 8 (8)","Yamamori, Mika","VIZ Media LLC","2020-09-01","Paperback","192","ひるなかの流星 [Hirunaka no Ryuusei]","8","English","9781974715084","","https://www.amazon.com/dp/1974715086?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/41S1POiUFGL._SL500_.jpg","Suzume has moved to Tokyo and is living with her uncle. Mr. Shishio’s change of heart causes Suzume to shut herself up in her room. When Suzume's mother returns to their hometown for a brief stay, Suzume makes the sudden decision to return home. But Yuyuka and Suzume's other Tokyo friends are determined to bring her back.","","9.99","Manga","4.36","07/18/2025","","","","","","","","Daytime Shooting Star"
"Daytime Shooting Star, Vol. 9 (9)","Yamamori, Mika","VIZ Media LLC","2020-11-03","Paperback","192","ひるなかの流星 [Hirunaka no Ryuusei]","9","English","9781974715091","","https://www.amazon.com/dp/1974715094?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51GEnkHguLL._SL500_.jpg","Suzume has moved to Tokyo and is living with her uncle. Spring arrives, and Suzume and her classmates are now second-year students. There’s just one problem—all the first-year girls are obsessed with Mamura. Suzume and her friends come up with a plan to make Suzume his fake girlfriend, but Mamura is conflicted.","","9.99","Manga","4.36","07/18/2025","","","","","","","","Daytime Shooting Star"
"Don't Toy With Me, Miss Nagatoro 01","nanashi","Vertical Comics","2019-11-19","Paperback","160","イジらないで、長瀞さん / Ijiranaide, Nagatoro-san","","English","9781947194861","","https://www.amazon.com/dp/1947194860?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51aEwrpUNuL._SL500_.jpg","Nagatoro is a cute freshman in high school who loves to toy with her senior classmate (Senpai). Even though Nagatoro tricks Senpai, makes him cry, and teases him, the two of them are hardly ever apart. Do the two of them really like each other as friends? Or are they toying with the idea that they can be something more...? Find out in this rowdy romantic comedy!

","","8.45","Action & Adventure","3.8","07/18/2025","","","","","","","","Don't Toy with Me, Ms. Nagatoro"
"Don't Toy With Me, Miss Nagatoro 02","nanashi","Vertical Comics","2020-02-18","Paperback","144","イジらないで、長瀞さん / Ijiranaide, Nagatoro-san","2","English","9781949980097","","https://www.amazon.com/dp/194998009X?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51ABGsvKYGL._SL500_.jpg","Lions and tigers and badgering, oh my! Nagatoro takes her teasing outdoors when Senpai asks her to join him at the zoo. The thing is, she thinks their outing is an invitation to go out! Senpai wants to enjoy a plein air sketching session, but what will happen when Nagatoro finds out that their date is nothing more than a plain error?


","","10.72","Manga","4.0","07/18/2025","","","","","","","","Don't Toy with Me, Ms. Nagatoro"
"Don't Toy With Me, Miss Nagatoro 03",", nanashi; Sivasubramanian, Kumar","Vertical Comics","2020-08-18","Paperback","160","イジらないで、長瀞さん / Ijiranaide, Nagatoro-san","","English","9781949980103","","https://www.amazon.com/dp/1949980103?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51EFAOySRLL._SL500_.jpg","Nagatoro teases Senpai to no end, yet she can’t stay away from him. Senpai gets embarrassed by Nagatoro, yet he can’t stop thinking of her when they’re apart. After having fun at the beach and playing video games at Nagatoro’s, the two only get closer and closer…

","","9.41","Manga","4.1","07/18/2025","","","","","","","","Don't Toy with Me, Ms. Nagatoro"
"Don't Toy With Me, Miss Nagatoro 04","nanashi","Vertical Comics","2020-11-03","Paperback","144","イジらないで、長瀞さん / Ijiranaide, Nagatoro-san","","English","9781949980486","","https://www.amazon.com/dp/1949980480?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/510DrN-zvGL._SL500_.jpg","Nagatoro est en seconde. Pleine d’assurance, joueuse, moqueuse, elle

se découvre un jour un passe-temps favori : martyriser son “Senpai”,

lycéen de première timide et mal dans sa peau. Nagatoro taquine,

agace, aguiche, va parfois trop loin... mais qu’a-t-elle vraiment

derrière la tête ? Et si derrière ses moqueries elle cachait une

véritable affection ? Et si finalement, ses farces permettaient à

Senpai de s’affirmer ?

","","12.95","Manga","4.2","07/18/2025","","","","","","","","Don't Toy with Me, Ms. Nagatoro"
"Don't Toy With Me, Miss Nagatoro 05","nanashi","Vertical Comics","2021-01-19","Paperback","160","イジらないで、長瀞さん / Ijiranaide, Nagatoro-san","","English","9781949980851","","https://www.amazon.com/dp/1949980855?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51HjCeswu1L._SL500_.jpg","The torment must go on! This time, Nagatoro makes it her mission to reveal Senpai’s true nature. She tries to find his sense of adventure, his inner chef, and his hidden stash to expose Senpai for the creep he is! Meanwhile, a new opponent appears! The buxom bohemian who heads the Art Club makes her entrance and threatens both the club itself and Nagatoro’s appeal!

","","12.95","Manga","4.2","07/18/2025","","","","","","","","Don't Toy with Me, Ms. Nagatoro"
"Don't Toy With Me, Miss Nagatoro 06","nanashi","Vertical Comics","2021-03-30","Paperback","176","イジらないで、長瀞さん / Ijiranaide, Nagatoro-san","","English","9781949980981","","https://www.amazon.com/dp/1949980987?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51i1sWtNJRL._SL500_.jpg","It’s a battle of the brushes! The president of the Art Club has challenged Senpai to an art competition, and if Senpai loses, his precious club will be no more. Nagatoro and her friends also have skin in the game since they’ll be losing the one place where they can torture Senpai without interruption, but do they stand a chance against the club president’s talent and her erotic assault on the senses?

","","12.04","Manga","4.2","07/18/2025","","","","","","","","Don't Toy with Me, Ms. Nagatoro"
"Don't Toy With Me, Miss Nagatoro 07","nanashi","Vertical Comics","2021-05-11","Paperback","160","イジらないで、長瀞さん / Ijiranaide, Nagatoro-san","","English","9781647290108","","https://www.amazon.com/dp/1647290104?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/5113b0jiRvL._SL500_.jpg","Lions and tigers and badgering, oh my! Nagatoro takes her teasing outdoors when Senpai asks her to join him at the zoo. The thing is, she thinks their outing is an invitation to go out! Senpai wants to enjoy a plein air sketching session, but what will happen when Nagatoro finds out that their date is nothing more than a plain error?

","","11.51","Manga","4.2","07/18/2025","","","","","","","","Don't Toy with Me, Ms. Nagatoro"
"Don't Toy With Me, Miss Nagatoro 08","nanashi","Vertical Comics","2021-09-21","Paperback","184","イジらないで、長瀞さん / Ijiranaide, Nagatoro-san","","English","9781647290504","","https://www.amazon.com/dp/1647290503?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51rzV+SfWNL._SL500_.jpg","The trolling rolls on with Nagatoro! But who exactly is she? For all the time that she’s been pestering Senpai, he doesn’t really know that much about her. But that changes when he checks up on Nagatoro at home while she’s out sick. There, he meets Nagatoro’s older sister, who teases Senpai with the chance to learn Nagatoro’s deepest secrets…

","","12.95","Media Tie-In","4.3","07/18/2025","","","","","","","","Don't Toy with Me, Ms. Nagatoro"
"Don't Toy With Me, Miss Nagatoro 09","nanashi","Vertical Comics","2021-12-07","Paperback","176","イジらないで、長瀞さん / Ijiranaide, Nagatoro-san","","English","9781647290726","","https://www.amazon.com/dp/1647290724?tag=handylibrarya-20&linkCode=osi&th=1&psc=1","","","https://m.media-amazon.com/images/I/51HQowbOeGL._SL500_.jpg","Winter arrives and Senpai comes down with a cold! But even Senpai’s rising body temperature won’t stop Nagatoro from getting a rise out of him. With Senpai absent from school, Nagatoro decides to pay him a visit at home, but things get a little heated when Senpai’s feverish state makes him imagine Nagatoro in a strangely domestic role…

","","9.99","Media Tie-In","4.3","07/18/2025","","","","","","","","Don't Toy with Me, Ms. Nagatoro"
